^VOX,^VCR,^VDC,^VDE,^VFH,^VHT,^VIS,^VGT,^VAW,^VNQ,^VPU,^VIX,sp500,label
61.25,48.25,69.98,104.9,41.69,58.53,67.48,54.71,82.49,61.9,77.14,20.66,1296.32,
62.5,49.59,70.3,104.6,42.33,58.67,67.81,55.15,82.02,63.9,78.03,20.12,1305.32,
62.34,48.95,70.68,104.09,40.64,58.49,67.17,55.11,82.51,62.47,76.52,21.17,1289.59,
61.77,48.18,70.42,107.78,39.4,58.33,66.91,54.99,84.43,61.56,77.28,21.55,1285.83,
62.17,49.08,70.57,106,40.36,58.59,67.31,55.44,83.95,62.55,76.49,20.34,1292.93,
62.68,49.57,71.27,104.57,40.62,59.06,67.69,55.5,83.1,62.46,76.92,19.58,1298.2,
62.13,48.62,70.52,103.75,39.75,58.62,66.91,54.78,82.65,61.6,77.11,20.98,1278.6,
60.71,47.53,69.88,106.5,38.65,57.97,65.69,54.25,82.32,60.08,77.09,21.28,1266.69,
60.81,47.27,69.97,109.82,38.98,57.64,65.77,54.16,83.5,60.17,77.59,20.42,1274.54,
60.71,47.38,69.61,112.09,38.61,57.7,65.77,53.97,84.44,59.1,78.2,19.82,1277.72,0
61.82,48.42,70.39,110.67,39.59,58.35,66.75,54.69,84.37,61.11,78.44,18.81,1292.2,0
60.32,47.32,69.61,108.54,38.46,57.72,65.49,53.78,82.18,59.26,77.61,20.97,1266.84,0
60.31,47.36,69.15,110.75,38.87,57.46,65.45,53.78,82.91,59.96,78.31,20.49,1271.51,0
61.32,47.67,69.65,112.42,39.33,57.68,65.97,54.23,83.98,60.56,78.99,19.76,1281.66,0
62.68,48.77,69.87,111.2,40.85,57.99,67.51,54.29,85.27,62.1,79.47,19.43,1300.68,0
61.98,48.39,69.06,109.85,40.85,57.37,66.61,53.44,84.29,61.67,78.22,20.65,1282.83,0
62.77,49.12,69.7,104.08,41.55,57.47,66.48,52.66,81.61,62.07,77.07,21.99,1277.58,0
62.81,49.49,69.69,103.5,41.93,57.5,65.95,51.84,81.51,63.05,76.12,21.43,1274.98,1
60.65,47.91,68.85,101.03,40.21,56.16,63.57,50.08,78.21,61.28,75.17,24.03,1236.83,0
60.32,48.08,69.46,100.73,41.46,55.83,63.7,50,79.3,61.29,73.85,23.06,1242.31,0
61.73,49.78,70.91,99.76,43.13,56.89,64.65,50.31,78.75,63.94,75.44,22.64,1267.79,1
60.91,48.62,70.45,92.81,40.85,56,62.44,49.15,74.79,61.55,73.23,25.47,1224.51,0
59.84,48.52,70.56,96.43,40.53,56.08,62.9,49.53,76.19,61.66,73.68,24.52,1232.04,0
59.74,49.17,71.49,97.83,41.1,57.05,63.8,50.04,77.7,62.6,74.57,24.39,1249.05,0
59.99,48.81,71.46,100.96,40.95,56.67,63.89,50.08,80.25,62.4,75.66,25.66,1251.7,1
57.07,47.41,70.41,94.65,37.65,55.5,61.28,48.32,75.88,58.8,73.17,31.7,1192.7,0
56.78,47.7,70.31,97.75,39.75,55.63,62,48.41,77.5,61.7,72.53,30.3,1213.6,1
53.59,45.53,68.29,94.29,36.49,53.84,59.28,46.23,74.28,58.15,68.7,36.22,1156.39,0
56.13,47.33,69.61,97.98,39.8,55,61.32,47.98,75.98,63.09,71.11,33.1,1206.51,0
58.75,48.29,69.65,104.22,43.07,55.5,63.52,49.56,80.38,64.97,73.68,32.07,1255.08,1
55.81,46,68.01,102.98,40.66,54.9,61.61,47.77,78.34,59.51,71.96,33.85,1207.09,0
54.8,45.32,67.63,100.27,40.08,53.88,59.96,47.39,75.53,59.91,71.24,35.72,1188.22,0
54.84,45.06,67.62,99.61,39.56,54.07,59.17,47.57,74.85,58.73,70.45,35.19,1185.87,0
56.2,45.87,68.7,101.74,40.29,54.92,60.11,48.42,74.75,59.46,72.12,32.82,1209.18,0
56.22,46.16,69.14,100,41.53,55.21,59.79,48.57,72.77,61.3,71.62,34.74,1213.27,1
53.19,43.11,66.89,89.97,38.75,52.93,56.13,44.69,66.33,56.72,67.87,46.72,1106.42,0
53.35,44.09,67.95,93.23,39.28,53.9,58.11,46.4,68.31,60.8,68.67,39.39,1166.36,0
