Time: 423.1898105144501, iters: 10, average auc: 0.761, average acc: 0.948
Time: 423.1898105144501, iters: 10, std auc: 0.012, std acc: 0.004
Time: 503.4214997291565, iters: 10, average auc: 0.579, average acc: 0.949
Time: 503.4214997291565, iters: 10, std auc: 0.120, std acc: 0.000
Time: 17.699190855026245, iters: 1, average auc: 0.500, average acc: 0.949
Time: 17.699190855026245, iters: 1, std auc: 0.000, std acc: 0.000
Time: 15.478945016860962, iters: 1, average auc: 0.733, average acc: 0.904
Time: 15.478945016860962, iters: 1, std auc: 0.000, std acc: 0.000
Time: 60.88530611991882, iters: 1, average auc: 0.746, average acc: 0.924
Time: 60.88530611991882, iters: 1, std auc: 0.000, std acc: 0.000
Time: 33.1668975353241, iters: 1, average auc: 0.782, average acc: 0.949
Time: 33.1668975353241, iters: 1, std auc: 0.000, std acc: 0.000
Time: 60.14732623100281, iters: 1, average auc: 0.500, average acc: 0.949
Time: 60.14732623100281, iters: 1, std auc: 0.000, std acc: 0.000
Time: 25.843647003173828, iters: 1, average auc: 0.585, average acc: 0.949
Time: 25.843647003173828, iters: 1, std auc: 0.000, std acc: 0.000
Time: 35.39209747314453, iters: 1, average auc: 0.737, average acc: 0.949
Time: 35.39209747314453, iters: 1, std auc: 0.000, std acc: 0.000
Time: 40.06595802307129, iters: 1, average auc: 0.791, average acc: 0.949
Time: 40.06595802307129, iters: 1, std auc: 0.000, std acc: 0.000
Time: 22.312533140182495, iters: 1, average auc: 0.784, average acc: 0.949
Time: 22.312533140182495, iters: 1, std auc: 0.000, std acc: 0.000
